year,d14c,sig_d14c,growth_season
991,-15.2,2.01,april-september
992,-21.14,1.39,
993,-15.07,1.38,
994,-10.12,1.4,
995,-7.66,2.01,
996,-7.04,2.03,
997,-8.74,1.98,
998,-14.33,1.92,
999,-11.07,2.07,
1000,-12.91,2.11,
