year,d14c,sig_d14c,growth_season
991,-10.87,2.63,april-august
992,-23.49,2.95,
993,-26.72,2.31,
994,-20.2,2.52,
995,-9.79,2.49,
996,-12.24,2.37,
997,-10.86,2.78,
998,-12.46,2.25,
