year,d14c,sig_d14c
770.0,-20.6231764069264,0.49694644551019324
771.0,-19.17045454545454,0.499405322474343
772.0,-20.390909090909087,0.4782025574486331
773.0,-19.672462121212117,0.48648398397754744
774.0,-12.50454545454545,0.4710854355669529
775.0,-5.504545454545452,0.5194959413295268
776.0,-3.540818181818178,0.48119166043297956
777.0,-3.790590909090909,0.49142500297982306
778.0,-5.477090909090904,0.4919917749640042
779.0,-6.09154545454545,0.4882262664715278
780.0,-8.228953349282294,0.5215855885710284
