year,d14c,sig_d14c
989.0,-16.50980769230769,1.9
990.0,-19.556995192307692,0.7766444247530526
991.0,-19.65153846153846,0.5564569872849338
992.0,-21.554615384615385,0.5422149402406009
993.0,-16.43076923076923,0.5249756263713808
994.0,-11.415384615384614,0.5342489059334836
995.0,-12.003846153846153,0.5635732365002869
996.0,-11.25076923076923,0.5886530608393223
997.0,-12.579230769230769,0.592562882089968
998.0,-13.31923076923077,0.5875719772099133
999.0,-13.314353146853147,0.6056974669648234
1000.0,-13.609807692307694,0.6609757938079125
1001.0,-11.30980769230769,2.9
1002.0,-13.212307692307693,2.79
1003.0,-13.486057692307691,1.8069380177526841
1004.0,-13.432307692307692,2.5
1005.0,-10.10980769230769,2.6
