year,d14c,sig_d14c
770.0,-19.418140777692308,0.5695635182037702
771.0,-19.145427175384615,0.610114952827621
772.0,-18.533899084615385,0.5603199454006644
773.0,-19.259028815384614,0.6036369853395089
774.0,-17.42172104846154,0.6171320556526043
775.0,-5.910596708153845,0.6006038278331821
776.0,-1.3623871429999994,0.5993211786553153
777.0,-3.059096730615387,0.6126327130917079
778.0,-5.125279740538463,0.5722026346018112
779.0,-5.968328407846153,0.5889982423960709
780.0,-6.236969873810898,0.5984044762728251
781.0,-6.552457296602563,1.4313008845879411
782.0,-6.010373963269229,1.2744508621363164
783.0,-6.862457296602564,1.316881838958142
784.0,-7.83787396326923,1.0658799181896617
785.0,-7.855790629935896,1.5889514362203352
786.0,-10.22537396326923,1.3716527439552622
787.0,-12.432457296602564,1.8033579788827288
788.0,-12.005790629935898,1.4583095236151573
789.0,-13.701623963269231,2.110094784600919
790.0,-13.305790629935895,1.3638181696985858
791.0,-15.40162396326923,2.0700241544484452
792.0,-13.572457296602565,1.674979270186815
794.0,-11.31412396326923,2.0
