year,d14c,sig_d14c
770.0,-23.366666666666667,0.8065702421708574
771.0,-22.78333333333333,0.7905694150420949
772.0,-23.016666666666666,0.7410578025138571
773.0,-20.666666666666664,0.7494442385305705
774.0,-12.883333333333331,0.7459148000200083
775.0,-7.766666666666664,0.7397447007057383
776.0,-7.133333333333331,0.7555351304428757
777.0,-9.283333333333333,0.7352248333370927
778.0,-9.633333333333335,0.7984359711335656
779.0,-10.683333333333332,0.8115485882626566
780.0,-11.933333333333332,0.7984359711335656
