year,d14c,sig_d14c
770.0,-19.689416666666663,0.6112779121793681
771.0,-17.989999999999995,0.6044734981416106
772.0,-19.553333333333327,0.5912698199637793
773.0,-19.406202380952376,0.6056704835914307
774.0,-12.41333333333333,0.5778504227835358
775.0,-4.806666666666663,0.6215035532212722
776.0,-2.486533333333327,0.5908862662137275
777.0,-1.9528666666666616,0.6152697339469179
778.0,-4.206399999999997,0.595408576096187
779.0,-4.660933333333327,0.5914148964418577
780.0,-6.770458333333329,0.6783384569831069
