year,d14c,sig_d14c
989.0,-15.895909090909086,1.9
990.0,-18.734242424242424,0.9259424628152898
991.0,-18.817272727272726,0.6070651523300886
992.0,-21.139090909090907,0.5883827112314169
993.0,-16.344545454545454,0.5708012347453156
994.0,-11.103636363636362,0.5835386494242697
995.0,-11.577272727272726,0.616801265930034
996.0,-10.587272727272726,0.6478368328394667
997.0,-12.467272727272725,0.6514611676013867
998.0,-12.747272727272726,0.6471399250893334
999.0,-13.062853535353533,0.6734570843375578
1000.0,-13.638721590909089,0.7110654417843691
1001.0,-10.695909090909087,2.9
1002.0,-12.59840909090909,2.79
1003.0,-12.872159090909088,1.8069380177526841
1004.0,-12.818409090909089,2.5
1005.0,-9.495909090909088,2.6
