year,d14c,sig_d14c,growth_season
990,-15.4,2.12,april-september
991,-17.19,1.54,
992,-19.65,1.53,
993,-9.71,1.62,
994,-9.69,1.52,
995,-11.2,1.53,
996,-10.58,1.53,
997,-12.47,1.54,
998,-8.29,2.13,
999,-8.98,2.15,
1000,-9.39,1.54,
