year,d14c,sig_d14c,growth_season
990,-20.6,1.8,april-september
991,-21.5,1.8,
992,-20.9,1.8,
993,-14.2,1.8,
994,-8.8,1.8,
995,-13.1,2.1,
996,-12.5,2.1,
997,-12.5,2,
998,-12.5,2,
999,-13.7,2,
1000,-13.9,2.1,
