year,d14c,sig_d14c
973.0,-21.252018492291665,1.320577925
974.0,-18.859945872291664,1.327553124
975.0,-18.001928312291668,1.008531011
976.0,-16.806793122291666,1.392432692
977.0,-19.235306712291667,1.389531712
978.0,-18.803377932291667,1.003706983
979.0,-16.030230482291667,1.411849899
980.0,-17.105979192291667,1.391317645
981.0,-15.919431221041668,0.9870016749193952
982.0,-18.749513726041666,1.1001721897222025
983.0,-17.657704626041667,1.1022816782010958
984.0,-20.759543981041666,1.121434274501092
985.0,-19.73109309604167,1.3116701889546953
986.0,-21.955162981041667,1.0780922797708583
987.0,-18.397402176041666,0.9883976636016594
988.0,-18.798347076041665,1.2662253005884478
989.0,-18.394544560625,0.971687962360622
990.0,-18.799115035104165,0.7230232867934715
991.0,-18.965447314166667,0.563243117114331
992.0,-21.100257735,0.544966019082071
993.0,-16.4018860775,0.5276925860256206
994.0,-11.286571620833332,0.5406446982171422
995.0,-11.674923987499998,0.5719732876792281
996.0,-10.730538697499998,0.5983796117814375
997.0,-12.427316202499998,0.6034008138163622
998.0,-12.616143897499999,0.5994233324633993
999.0,-13.013218402041666,0.6125436892213807
1000.0,-13.559313381180555,0.6425124347490508
1001.0,-10.555035246041665,1.6877231980178602
1002.0,-13.191762416041666,1.5144639782900529
1003.0,-13.302029270624999,1.335572772657929
1004.0,-14.194797416041666,1.5284537383794503
1005.0,-13.459894571041664,1.4277787017449484
1006.0,-17.153239042291666,1.751726706
1007.0,-19.743919422291665,1.773646602
1008.0,-16.000053042291665,1.203624989
1009.0,-17.000804952291666,1.773616012
1010.0,-15.389176642291666,1.670660235
1011.0,-16.013095432291667,1.152185865
1012.0,-15.659109212291668,1.661684038
1013.0,-15.207339322291666,1.661951589
1014.0,-14.916350612291666,1.150875505
1015.0,-17.394281322291665,1.672749602
1016.0,-17.590781962291665,1.682012557
1017.0,-16.438682472291667,1.153786392
1018.0,-15.635745052291664,1.650066373
1019.0,-15.539195402291668,1.660630411
1020.0,-16.407498192291666,1.141335466
1021.0,-14.877308272291668,1.660456894
1022.0,-16.990194032291665,1.663275329
1023.0,-13.370546102291666,1.155698671
