year,d14c,sig_d14c
760.0,-18.881499999999996,3.9
761.0,-16.181499999999993,3.7
762.0,-23.981499999999993,3.5
763.0,-16.681499999999993,3.5
764.0,-18.581499999999995,3.5
765.0,-19.081499999999995,3.5
766.0,-19.281499999999994,3.5
767.0,-20.181499999999996,3.5
768.0,-17.681499999999993,4.6
769.0,-18.781499999999994,4.8
770.0,-19.69346428571428,0.6112779121793681
771.0,-17.989999999999995,0.6044734981416106
772.0,-19.55333333333333,0.5912698199637793
773.0,-19.410249999999998,0.6056704835914307
774.0,-12.41333333333333,0.5778504227835358
775.0,-4.806666666666665,0.6215035532212723
776.0,-2.486533333333327,0.5908862662137275
777.0,-1.9528666666666652,0.6152697339469179
778.0,-4.206399999999999,0.5954085760961869
779.0,-4.660933333333329,0.5914148964418577
780.0,-6.784625,0.6783384569831067
781.0,-9.581499999999995,2.7
782.0,-6.081499999999995,3.1
783.0,-11.381499999999996,3.5
784.0,-5.8814999999999955,2.9
785.0,-8.981499999999995,4.4
786.0,-8.381499999999996,2.8
787.0,-12.981499999999995,2.8
788.0,-14.881499999999996,3.6
789.0,-16.681499999999993,3.9
790.0,-13.181499999999994,2.8
791.0,-15.581499999999995,2.7
792.0,-19.181499999999996,2.9
793.0,-11.281499999999994,3.9
794.0,-9.481499999999995,3.1
795.0,-13.781499999999994,3.6
796.0,-15.781499999999994,2.9
797.0,-14.181499999999994,2.8
798.0,-16.281499999999994,2.8
799.0,-13.581499999999995,3.1
800.0,-13.781499999999994,2.8
