year,d14c,sig_d14c
973.0,-21.738601142321425,1.320577925
974.0,-19.346528522321425,1.327553124
975.0,-18.488510962321428,1.008531011
976.0,-17.293375772321426,1.392432692
977.0,-19.721889362321427,1.389531712
978.0,-19.289960582321427,1.003706983
979.0,-16.516813132321428,1.411849899
980.0,-17.592561842321427,1.391317645
981.0,-16.40601387107143,0.9870016749193952
982.0,-19.236096376071426,1.1001721897222025
983.0,-18.144287276071427,1.1022816782010958
984.0,-21.246126631071427,1.121434274501092
985.0,-20.21767574607143,1.3116701889546953
986.0,-22.441745631071427,1.0780922797708583
987.0,-18.883984826071426,0.9883976636016594
988.0,-19.284929726071425,1.2662253005884478
989.0,-18.88112721065476,0.971687962360622
990.0,-19.556658968071424,0.6418318400307093
991.0,-19.718954840714282,0.5220689047328719
992.0,-21.491649487142855,0.507908207807433
993.0,-16.473759494999996,0.49099525648131903
994.0,-11.549918532142854,0.5006344103718673
995.0,-12.057077703571426,0.5285390705437066
996.0,-11.32617602642857,0.5502234008748748
997.0,-12.536985316428568,0.5552064612507223
998.0,-13.165980483571426,0.550567887416423
999.0,-13.27325156002976,0.5601033952198142
1000.0,-13.582188407321425,0.608264028506566
1001.0,-11.041617896071426,1.6877231980178602
1002.0,-13.678345066071426,1.5144639782900529
1003.0,-13.788611920654759,1.335572772657929
1004.0,-14.681380066071426,1.5284537383794503
1005.0,-13.946477221071424,1.4277787017449484
1006.0,-17.639821692321426,1.751726706
1007.0,-20.230502072321425,1.773646602
1008.0,-16.486635692321425,1.203624989
1009.0,-17.487387602321427,1.773616012
1010.0,-15.875759292321426,1.670660235
1011.0,-16.499678082321427,1.152185865
1012.0,-16.145691862321428,1.661684038
1013.0,-15.693921972321426,1.661951589
1014.0,-15.402933262321426,1.150875505
1015.0,-17.880863972321425,1.672749602
1016.0,-18.077364612321425,1.682012557
1017.0,-16.925265122321427,1.153786392
1018.0,-16.122327702321424,1.650066373
1019.0,-16.025778052321428,1.660630411
1020.0,-16.894080842321426,1.141335466
1021.0,-15.363890922321428,1.660456894
1022.0,-17.476776682321425,1.663275329
1023.0,-13.857128752321426,1.155698671
