year,d14c,sig_d14c
760.0,-16.291686537321432,3.9
761.0,-21.291686537321432,3.5
762.0,-17.99168653732143,4.6
763.0,-19.891686537321434,3.5
764.0,-19.99168653732143,3.9
765.0,-19.67918653732143,2.180022935659164
766.0,-17.37918653732143,1.9678668654154428
767.0,-18.779186537321433,2.5283393759541064
768.0,-21.279186537321433,1.9912307751739877
769.0,-18.229186537321432,2.0838665984174707
770.0,-19.45255929357143,0.5849910151691103
771.0,-18.963610948571432,0.6192432973082365
772.0,-18.29576343571429,0.5803718748245924
773.0,-19.126241042857146,0.6137448453659065
774.0,-17.39874097357143,0.6252101019317325
775.0,-5.716982657571428,0.611173669760754
776.0,-1.5222166327857174,0.6130486418520855
777.0,-3.0691612498571477,0.6213829382028708
778.0,-5.323474044785717,0.5702813461696077
779.0,-6.177733521571431,0.5823479003192228
780.0,-6.343544300898355,0.5957177565296768
781.0,-6.763353203988098,1.4313008845879411
782.0,-6.112936537321431,1.2744508621363164
783.0,-7.073353203988097,1.316881838958142
784.0,-7.940436537321432,1.0658799181896617
785.0,-8.066686537321432,1.5889514362203354
786.0,-10.327936537321431,1.3716527439552624
787.0,-12.643353203988099,1.8033579788827288
788.0,-12.216686537321433,1.4583095236151573
789.0,-14.12918653732143,2.110094784600919
790.0,-13.516686537321434,1.3638181696985858
791.0,-15.829186537321432,2.0700241544484452
792.0,-13.7833532039881,1.674979270186815
793.0,-10.329186537321432,1.9849433241279208
794.0,-9.91668653732143,1.3540064007726602
795.0,-14.529186537321433,2.5495097567963922
796.0,-7.029186537321431,1.6643316977093237
797.0,-14.591686537321433,2.8
798.0,-9.691686537321432,3.0
799.0,-13.391686537321434,2.8
800.0,-10.291686537321432,2.8
