year,d14c,sig_d14c,growth_season
980,-13,2.32,august-september
981,-22.27,2.62,
982,-13.46,2.44,
983,-19.99,2.92,
984,-17.75,2.46,
985,-18.13,2.57,
986,-19.39,2.54,
987,-19.37,2.34,
988,-24.76,2.31,
991,-17.64,2.28,
992,-21.05,2.26,
993,-20.09,2.48,
994,-9.61,2.32,
995,-11.57,2.39,
996,-8.79,2.36,
997,-13.8,2.46,
998,-13.59,2.74,
1002,-11.55,2.79,
1003,-12,2.51,
1004,-11.77,2.5,
