year,d14c,sig_d14c
-5271.0,97.965,1.0478131990006616
-5270.0,95.325,1.032288113851942
-5269.0,94.9275,1.0247042256183
-5268.0,95.0525,1.0113573799602196
-5267.0,95.9325,1.1403124571800485
-5266.0,94.36,1.012749969143421
-5265.0,95.30749999999999,0.902216021804091
-5264.0,95.8625,0.9589023672929377
-5263.0,94.18,0.8477396416353313
-5262.0,94.48750000000001,0.9475296829123613
-5261.0,93.18,0.9050241709479366
-5260.0,96.94333333333333,1.0962055768270231
-5259.0,111.14,0.8830699292808016
-5258.0,113.05999999999999,0.926842759048157
-5257.0,110.48750000000001,0.8961793905240178
-5256.0,110.125,0.9064318783008461
-5255.0,107.025,0.9330259910634859
-5254.0,106.655,0.9429773327074198
-5253.0,105.075,0.8553508052255518
-5252.0,102.765,0.9834728008440294
-5251.0,100.32249999999999,1.0052176381261921
-5250.0,98.16333333333334,1.0985900054160331
-5249.0,98.00333333333333,1.0133881564117253
-5248.0,97.58999999999999,1.203541071634496
-5247.0,97.99333333333334,1.0282995672468214
-5246.0,98.94,2.26
