year,d14c,sig_d14c,growth_season
-670,7.20,2.20,april-september
-669,7.10,2.20,
-668,-0.80,2.10,
-667,1.40,2.20,
-666,-1.30,2.30,
-665,-3.10,2.20,
-664,5.20,1.90,
-663,4.80,1.90,
-662,15.10,2.80,
-661,16.20,2.60,
-660,16.10,2.20,
-659,15.70,2.60,
-657,8.90,2.50,
-655,10.10,2.70,
-654,3.20,2.20,
-652,14.10,2.50,
