year,d14c,sig_d14c,growth_season
770,-24.3,1.6,july-september
771,-19.5,1.6,
772,-15.3,1.5,
773,-16.0,1.5,
774,-9.1,1.5,
775,-0.6,1.6,
776,-1.9,1.6,
777,2.6,1.6,
778,-8.8,1.5,
779,-1.6,1.5,
