year,d14c,sig_d14c,growth_season
770,-19.4,1.8,may-september
771,-16.4,1.9,
772,-21.2,1.8,
773,-17.1,1.9,
774,-8.4,2.0,
775,-7.8,2.0,
776,0.8,1.8,
777,3.8,1.9,
778,-1.8,1.9,
779,-1.1,2.0,
