year,d14c,sig_d14c,growth_season
770,-20.7,1.5,may-july
771,-20.4,1.6,
772,-23.2,1.5,
773,-18.9,1.5,
774,-18.8,1.5,
775,-11.2,1.5,
776,1.6,1.5,
777,-0.4,1.5,
778,-3.0,1.5,
779,-5.9,1.5,
