year,d14c,sig_d14c,growth_season
-669,7.1,2.2,april-september
-668,-0.8,2.1,
-667,1.4,2.2,
-666,-1.3,2.3,
-665,-3.1,2.2,
-664,5.2,1.9,
-663,4.8,1.9,
-662,15.1,2.8,
-661,16.2,2.6,
-660,16.1,2.2,
-659,15.7,2.6,
-657,8.9,2.5,
-655,10.1,2.7,
-654,3.2,2.2,
-652,14.1,2.5,
